Packet Number,Latency (µs)
1,38.03
2,66.04
3,48.35
4,39.1
5,19.18
6,35.44
7,86.17
8,50.43
9,49.04
10,36.78
11,85.52
12,53.74
13,48.78
14,27.56
15,47.32
16,49.46
17,43.16
18,29.92
19,40.19
20,47.75
21,37.88
22,37.58
23,29.32
24,35.26
25,92.95
26,50.89
27,35.16
28,38.05
29,258.16
30,28.9
31,29.08
32,48.87
33,42.33
34,35.71
35,34.61
36,67.64
37,85.21
38,37.6
39,35.43
40,41.3
41,47.04
42,44.8
43,67.74
44,32.38
45,56.65
46,79.3
47,107.53
48,121.159
49,44.37
50,96.86
51,57.89
52,39.54
53,44.49
54,59.02
55,53.62
56,28.42
57,19.57
58,27.0
59,42.48
60,35.79
61,41.97
62,37.49
63,39.58
64,53.52
65,36.09
66,26.62
67,47.47
68,41.67
69,31.63
70,49.14
71,35.42
72,38.48
73,46.2
74,26.39
75,57.97
76,45.15
77,84.86
78,61.48
79,125.32
80,27.72
81,38.74
82,31.49
83,44.91
84,32.36
85,56.54
86,36.52
87,41.54
88,49.06
89,51.63
90,44.31
91,114.7
92,36.57
93,37.78
94,65.56
95,62.33
96,95.87
97,31.2
98,65.31
99,41.43
100,64.73
101,131.87
102,52.92
103,55.14
104,45.02
105,70.26
106,38.62
107,36.31
108,38.84
109,37.91
110,37.82
111,42.73
112,91.91
113,30.72
114,31.66
115,68.24
116,29.24
117,44.02
118,80.416
119,50.11
120,54.03
121,127.71
122,58.46
123,111.85
124,91.305
125,54.09
126,56.46
127,231.205
128,61.2
129,58.2
130,374.87
131,102.93
132,134.26
133,107.71
134,118.95
135,200.03
136,86.0
137,312.24
138,2102.236
139,28.66
140,62.0
141,82.13
142,21.04
143,86.06
144,40.75
145,96.32
146,32.55
147,31.46
148,126.47
149,82.77
150,38.44
151,68.73
152,59.84
153,64.82
154,36.04
155,108.98
156,88.19
157,44.45
158,30.34
159,41.62
160,26.93
161,32.17
162,61.57
163,32.55
164,48.48
165,53.0
166,36.1
167,75.76
168,97.349
169,59.43
170,32.24
171,32.86
172,69.24
173,31.15
174,40.49
175,31.02
176,51.38
177,43.63
178,41.55
179,39.29
180,40.65
181,39.17
182,30.63
183,40.15
184,32.14
185,28.47
186,63.11
187,67.82
188,40.81
189,34.24
190,64.49
191,182.53
192,45.59
193,35.39
194,41.2
195,24.48
196,68.97
197,32.46
198,36.19
199,55.92
200,37.44
201,30.36
202,28.08
203,17.41
204,27.44
205,35.36
206,50.52
207,24.33
208,36.93
209,24.49
210,33.03
211,37.68
212,89.9
213,24.81
214,163.33
215,19.42
216,32.54
217,22.66
218,36.97
219,30.52
220,66.09
221,48.88
222,38.87
223,45.28
224,30.42
225,33.03
226,47.32
227,25.16
228,123.01
229,36.7
230,56.15
231,25.56
232,34.6
233,65.59
234,25.3
235,25.99
236,51.9
237,61.98
238,74.62
239,127.97
240,59.72
241,125.12
242,29.65
243,40.83
244,62.27
245,92.59
246,60.25
247,46.56
248,60.66
249,36.4
250,51.85
251,40.75
252,18.68
253,17.81
254,79.15
255,50.36
256,66.98
257,47.57
258,45.97
259,42.28
260,32.72
261,30.58
262,26.24
263,29.52
