Packet Number,Latency (µs)
1,41044.719
2,169.394
3,514.518
4,5726.06
5,2586.74
6,1540.088
7,523.745
8,449.207
9,5137.937
10,821.767
11,6171.49
12,915.91
13,398.371
14,296.569
15,622.162
16,372.849
17,652.585
18,2135.974
19,291.673
20,651.289
21,908.394
22,410.755
23,578.11
24,400.29
25,348.359
26,4877.808
27,435.491
28,815.804
29,844.907
30,2285.863
31,437.684
32,1879.087
33,642.035
34,538.531
35,1021.514
36,1814.154
37,1532.236
38,351.188
39,590.05
40,774.418
41,1302.334
42,596.682
43,230.247
44,612.806
45,3531.23
46,2823.091
47,788.623
48,760.988
49,2060.107
50,613.371
51,698.604
52,3485.4
53,4772.118
54,1849.31
55,467.663
56,321.73
57,5436.329
58,1699.391
59,334.155
60,1062.896
61,272.575
62,572.329
63,2449.581
64,1037.678
65,1838.887
66,296.372
67,1641.972
68,3357.305
69,4047.333
70,3264.261
71,765.102
72,3804.838
73,1229.591
74,2750.012
75,5044.756
76,3098.309
77,1153.271
78,209.976
79,444.864
80,606.493
81,3503.279
82,2778.456
83,595.095
84,417.609
85,3395.988
86,941.608
87,5006.144
88,1013.34
89,429.803
90,988.338
91,543.931
92,700.162
93,793.694
94,191.28
95,3666.131
96,284.764
97,2534.913
98,1835.188
99,3468.244
100,1199.799
101,444.648
102,1429.704
103,1057.664
104,186.31
105,647.007
106,105.585
107,121.107
108,555.549
109,1170.454
110,1085.185
111,555.972
112,482.082
113,1222.799
114,5142.306
115,2546.058
116,693.167
117,544.006
118,571.986
119,1328.185
120,855.774
121,929.728
122,2600.233
123,3141.991
124,2669.137
125,418.75
126,3607.05
127,2658.144
128,409.737
129,4671.785
130,375.083
131,239.361
132,359.66
133,1597.672
134,944.98
135,145.275
136,982.21
137,700.857
138,557.603
139,308.447
140,542.031
141,908.518
142,254.007
143,1414.498
144,213.28
145,1791.286
146,1861.956
147,297.263
148,365.578
149,1812.644
150,2872.739
151,2616.852
152,859.818
153,1445.011
154,1597.151
155,1230.904
156,642.857
157,1758.636
158,735.63
159,4981.15
160,12005.96
161,1479.12
162,676.802
163,2355.351
164,1433.002
165,2825.169
166,1418.836
167,933.717
168,4235.931
169,3014.538
170,753.32
171,1436.397
172,851.459
173,686.66
174,113.604
175,2436.06
176,1799.276
177,821.268
178,2447.94
179,1552.2
180,854.096
181,384.683
182,8382.607
183,466.934
184,193.268
185,10537.945
186,297.907
187,1771.136
188,648.14
189,245.577
190,1064.651
191,341.378
192,1600.242
193,1608.899
194,511.405
195,1259.037
196,829.151
197,1911.906
198,736.04
199,7713.183
200,3743.935
201,641.806
202,1942.851
203,410.117
204,894.525
205,279.448
206,239.585
207,329.945
208,973.383
209,5488.616
210,644.443
211,496.362
212,337.956
213,8857.174
214,618.13
215,5877.133
216,4376.069
217,1042.03
218,3239.405
219,248.37
220,504.156
221,1213.633
222,1412.92
223,307.866
224,2287.876
225,2608.463
226,2856.393
227,455.432
228,141.21
229,3987.905
230,857.9
231,1163.844
232,695.376
233,476.464
234,2151.098
235,2597.813
236,342.096
237,1284.471
238,5810.536
239,785.23
240,492.156
241,5259.95
242,2578.996
243,545.457
244,1313.41
245,2574.783
246,1558.671
247,670.446
248,938.545
249,468.148
250,1648.963
251,3641.785
252,835.766
253,4951.525
254,881.747
255,1223.452
256,1062.288
257,2334.096
258,4519.951
259,157.219
260,2649.054
261,2096.53
262,733.701
263,870.476
264,6560.455
265,231.474
266,3936.045
267,1692.207
268,4872.781
269,941.066
270,1747.343
271,3408.331
272,1341.4
273,224.834
274,1604.268
275,212.964
276,304.84
277,244.981
278,910.904
279,731.995
280,396.503
281,4193.732
282,502.731
283,2504.355
284,823.178
285,10997.44
286,2473.443
287,2509.853
288,1258.67
289,3519.322
290,3920.354
291,3463.226
292,1422.461
293,821.889
294,4008.784
295,1426.35
296,2429.732
297,1875.853
298,2856.208
299,2640.949
300,602.79
301,3495.036
302,2633.909
303,578.871
304,2947.444
305,2444.834
306,440.998
307,599.527
308,6221.026
309,4341.486
310,726.844
311,4383.148
312,596.37
313,1039.782
314,3691.617
315,748.431
316,2592.95
317,2141.195
318,304.431
319,4133.262
320,302.856
321,4628.209
322,725.611
323,1484.054
324,144.941
325,973.023
326,2834.239
327,2586.45
328,3130.46
329,125.701
330,533.257
331,352.751
332,178.789
333,1779.419
334,617.488
335,1721.838
336,678.77
337,479.106
338,4388.851
339,237.014
340,574.681
341,533.668
342,729.267
343,502.257
344,811.76
345,508.626
346,304.133
347,198.033
348,228.874
349,323.571
350,1208.371
351,245.838
352,1424.519
353,3786.932
354,1332.145
355,222.729
356,666.193
357,1238.133
358,1551.282
359,1031.308
360,412.417
361,551.541
362,1738.008
363,301.268
364,794.645
365,1697.524
366,3450.417
367,796.047
368,240.214
369,560.897
370,622.292
371,309.108
372,2394.229
373,1847.696
374,2738.746
375,1760.07
376,804.452
377,2568.372
378,887.249
379,1149.377
380,953.06
381,202.21
382,3051.977
383,732.864
384,371.665
385,1224.926
386,9684.284
387,583.088
388,244.837
389,1092.183
390,5096.572
391,3237.574
392,1281.218
393,749.295
394,998.126
395,817.798
396,3432.118
397,1334.57
398,1338.879
399,2506.69
400,1323.798
401,2982.833
402,951.695
403,754.504
404,5899.196
405,4358.956
406,3955.231
407,1123.781
408,3248.107
409,482.498
410,2985.614
411,4254.45
412,2509.7
413,1008.464
414,773.434
415,470.57
416,7257.733
417,4983.21
418,2678.617
419,2887.193
420,5050.725
421,2233.677
422,1773.343
423,2857.844
424,4709.345
425,406.248
426,887.674
427,15010.988
428,454.514
429,7586.005
430,1792.336
431,5856.44
432,1745.788
433,247.067
434,2642.273
435,250.515
436,553.838
437,221.125
438,965.347
439,852.548
440,2193.777
441,432.554
442,969.24
443,2268.339
444,208.557
445,895.742
