Packet Number,Latency (µs)
1,2643.1
2,241.45
3,204.35
4,198.73
5,158.43
6,190.28
7,177.28
8,211.74
9,142.09
10,188.71
11,206.74
12,324.03
13,154.68
14,334.41
15,265.0
16,115.37
17,139.6
18,200.6
19,201.56
20,134.92
21,136.87
22,203.65
23,153.59
24,545.06
25,155.55
26,338.94
27,290.41
28,300.64
29,152.48
30,252.75
31,230.69
32,236.17
33,235.09
34,454.33
35,160.72
36,136.4
37,98.74
38,180.25
39,186.66
40,162.0
41,106.62
42,142.41
43,114.14
44,149.92
45,181.84
46,158.37
47,119.99
48,146.36
49,167.22
50,172.61
51,124.41
52,138.39
53,264.25
54,328.36
55,144.82
56,115.38
57,130.49
58,123.53
59,517.52
60,715.2
61,669.63
62,280.26
63,521.56
64,330.55
65,112.95
66,267.88
67,97.81
68,2674.98
69,1035.84
70,1959.94
71,996.4
72,134.79
73,3738.04
74,681.84
75,221.15
76,107.04
77,886.9
78,109.25
79,1349.65
80,325.86
81,679.45
82,470.43
83,304.9
84,397.48
85,128.64
86,228.38
87,311.07
88,127.34
89,122.71
90,312.44
91,291.99
92,107.25
93,138.79
94,167.06
95,231.46
96,286.37
97,151.81
98,195.559
99,125.33
100,92.41
101,194.65
102,175.2
103,143.26
104,129.86
105,99.74
106,135.9
107,233.43
108,181.69
109,231.78
110,165.89
111,127.96
112,191.41
113,160.9
114,195.66
115,210.42
116,152.01
117,192.49
118,192.06
119,174.67
120,274.76
121,158.81
122,152.5
123,101.86
124,166.86
125,165.56
126,131.03
127,156.94
128,397.23
129,526.25
130,449.18
131,519.33
132,549.53
133,589.84
134,142.76
135,130.62
136,355.98
137,218.58
138,717.199
139,411.03
140,141.23
141,184.42
142,123.99
143,184.77
144,129.38
145,164.1
146,293.37
147,213.22
148,119.03
149,70.06
150,161.97
151,725.3
152,128.25
153,163.48
154,149.17
155,155.7
156,420.01
157,412.75
158,185.02
159,192.22
160,75.84
161,447.94
162,350.36
163,134.11
164,171.31
165,144.71
166,346.92
167,144.95
168,185.26
169,117.38
170,161.29
171,299.43
172,135.63
173,368.45
174,333.62
175,298.04
176,342.12
177,246.71
178,286.8
179,165.91
180,264.54
181,388.24
182,391.1
183,362.88
184,230.55
185,510.91
186,338.21
187,100.98
188,256.29
189,275.47
190,138.44
191,196.35
192,174.54
193,181.24
194,216.24
195,224.07
196,151.38
197,194.25
198,154.87
199,147.34
200,302.3
201,768.9
202,243.36
203,392.99
204,176.01
205,250.37
206,583.11
207,690.09
208,122.15
209,528.29
210,130.16
211,344.53
212,263.56
213,217.79
214,426.54
215,292.66
216,198.15
217,381.7
218,145.63
219,157.33
220,156.36
221,125.54
222,147.34
223,107.15
224,213.1
225,171.52
226,348.03
227,300.76
228,201.05
229,148.65
230,155.86
231,143.37
232,151.47
233,388.22
234,176.74
235,132.66
236,266.83
237,621.77
238,119.44
239,97.18
240,107.91
241,656.74
242,480.11
243,1102.11
244,1082.95
245,427.17
246,296.92
247,229.59
248,114.61
249,117.57
250,197.74
251,207.9
252,153.31
253,177.97
254,180.76
255,200.11
256,222.69
257,282.5
258,155.13
259,133.68
260,169.87
261,225.61
262,116.71
263,194.98
264,220.01
265,253.85
266,357.41
267,97.14
268,97.57
269,165.11
270,178.63
271,163.33
272,174.38
273,299.91
274,270.6
275,518.06
276,671.47
277,513.26
278,438.02
279,110.43
280,431.38
281,286.11
282,128.65
283,224.18
284,162.83
285,457.18
286,397.59
287,145.08
288,234.49
289,234.41
290,148.42
291,173.06
292,172.03
293,201.43
294,178.66
295,337.63
296,225.4
297,169.46
298,175.23
299,206.86
300,263.85
301,61.89
302,137.73
303,1451.11
304,216.49
305,212.95
306,154.73
307,163.26
308,321.49
309,288.71
310,238.391
311,214.46
312,193.74
313,114.67
314,212.98
315,179.06
316,193.62
317,185.3
318,260.06
319,184.01
320,157.58
321,200.54
322,278.82
323,183.93
324,285.6
325,123.22
326,219.44
327,216.65
328,165.61
329,197.31
330,155.38
331,234.88
332,113.89
333,120.97
334,98.08
335,334.54
336,299.64
337,361.84
338,259.01
339,279.14
340,153.1
341,209.08
342,179.5
343,152.37
344,163.56
345,153.56
346,128.53
347,180.96
348,145.43
349,292.85
350,167.83
351,105.62
352,266.86
353,244.9
354,155.53
355,288.55
356,487.08
357,190.95
358,268.47
359,107.33
360,354.91
361,271.69
362,246.71
363,213.28
364,717.81
365,445.9
366,723.03
367,215.79
368,116.46
369,95.73
370,121.28
371,109.7
372,156.55
373,140.43
374,520.87
375,122.17
376,129.52
377,244.68
378,594.99
379,178.49
380,444.08
381,222.7
382,251.35
383,158.96
384,317.59
385,148.58
386,138.57
387,193.73
388,130.13
389,125.01
390,140.63
391,134.71
392,181.72
393,189.16
394,109.59
395,179.74
396,165.9
397,219.25
398,112.87
399,109.9
400,218.97
401,127.03
402,345.9
403,161.3
404,180.79
405,157.74
406,118.08
407,109.57
408,789.38
409,362.81
410,294.79
411,471.69
412,138.7
413,227.12
414,240.79
415,387.12
416,141.02
417,160.96
418,228.17
419,267.47
420,229.48
421,156.57
422,137.7
423,129.69
424,159.38
425,185.01
426,142.09
427,165.21
428,216.29
429,185.15
430,177.4
431,397.18
432,285.48
433,562.94
434,202.41
435,286.68
436,228.77
437,172.45
438,127.94
439,116.46
440,184.82
441,120.93
442,206.95
443,728.09
444,702.58
445,1155.18
446,1056.51
447,98.65
448,164.89
449,180.25
450,145.72
451,186.14
452,136.65
453,101.38
454,155.61
455,109.43
456,123.89
457,272.99
458,197.05
459,122.34
460,174.12
461,166.79
462,199.41
463,132.44
464,197.78
465,218.34
466,229.27
467,209.18
468,470.68
469,247.059
470,236.4
471,296.0
472,120.79
473,685.62
474,1412.16
475,176.38
476,109.11
477,163.76
478,283.82
479,215.83
480,190.61
481,214.44
482,208.49
483,159.86
484,99.68
485,467.17
486,199.29
487,221.86
488,4566.26
489,419.11
490,227.53
491,578.97
492,110.91
493,231.01
494,121.31
495,578.25
496,1240.52
497,441.42
498,209.45
499,120.06
500,307.03
