Packet Number,Latency (µs)
1,1694.63
2,132.41
3,144.98
4,166.0
5,201.26
6,178.47
7,146.41
8,98.81
9,159.62
10,165.34
11,205.49
12,244.36
13,196.99
14,148.85
15,193.73
16,158.19
17,112.46
18,122.97
19,138.24
20,151.93
21,177.84
22,157.82
23,163.64
24,201.17
25,115.31
26,179.41
27,194.41
28,176.48
29,218.03
30,141.29
31,84.86
32,195.78
33,193.36
34,139.59
35,128.51
36,177.56
37,171.63
38,191.25
39,208.51
40,143.88
41,177.31
42,259.05
43,172.38
44,182.05
45,196.2
46,175.19
47,168.63
48,216.92
49,257.08
50,179.29
51,154.54
52,227.74
53,213.86
54,236.59
55,231.92
56,203.72
57,132.56
58,204.61
59,165.09
60,153.91
61,265.94
62,147.14
63,184.07
64,190.99
65,127.67
66,132.97
67,157.82
68,226.09
69,156.18
70,186.92
71,162.63
72,203.65
73,187.75
74,147.14
75,187.95
76,252.2
77,160.79
78,187.72
79,227.58
80,156.15
81,120.9
82,209.55
83,182.65
84,169.6
85,204.63
86,136.58
87,165.25
88,163.33
89,177.51
90,181.39
91,215.04
92,123.34
93,140.27
94,156.39
95,193.15
96,135.06
97,132.16
98,188.25
99,207.74
100,164.51
101,206.36
102,118.69
103,164.68
104,128.04
105,171.19
106,168.36
107,198.21
108,150.99
109,171.0
110,181.81
111,141.0
112,244.47
113,160.96
114,186.06
115,117.57
116,177.0
117,159.92
118,162.47
119,114.11
120,176.17
121,143.19
122,84.42
123,149.45
124,226.31
125,174.42
126,160.29
127,143.83
128,134.99
129,143.73
130,163.49
131,198.79
132,137.76
133,153.05
134,136.68
135,128.69
136,135.02
137,141.84
138,193.52
139,148.02
140,165.22
141,130.05
142,181.19
143,191.55
144,179.24
145,198.68
146,144.8
147,162.21
148,179.2
149,153.44
150,149.17
151,160.88
152,147.74
153,192.2
154,222.52
155,164.54
156,136.17
157,201.07
158,211.31
159,266.2
160,169.4
161,146.27
162,217.55
163,214.66
164,222.03
165,131.21
166,233.78
167,132.23
168,178.73
169,138.58
170,259.26
171,221.32
172,297.67
173,235.63
174,161.09
175,187.68
176,158.15
177,174.27
178,122.47
179,127.53
180,225.05
181,148.44
182,164.64
183,212.38
184,123.17
185,178.88
186,143.37
187,138.48
188,197.57
189,111.16
190,172.31
191,223.56
192,162.03
193,209.56
194,177.93
195,458.67
196,545.85
197,2824.59
198,2885.37
199,392.6
200,1319.0
201,1931.08
202,1773.15
203,851.03
204,403.89
205,593.1
206,208.48
207,177.28
208,419.76
209,152.61
210,90.45
211,154.27
212,109.32
213,149.61
214,233.47
215,126.0
216,207.37
217,178.09
218,119.78
219,190.82
220,251.55
221,178.38
222,194.04
223,108.46
224,269.14
225,178.95
226,114.72
227,202.46
228,202.12
229,185.9
230,237.74
231,153.66
232,199.36
233,213.19
234,158.72
235,137.9
236,99.35
237,170.97
238,211.51
239,168.21
240,150.83
241,279.89
242,198.57
243,162.04
244,122.24
245,210.86
246,187.47
247,98.43
248,162.77
249,168.54
250,131.03
251,177.05
252,167.51
253,161.77
254,102.64
255,143.73
256,121.66
257,248.02
258,141.56
259,98.78
260,134.58
261,249.22
262,155.1
263,204.55
264,140.37
265,134.42
266,137.11
267,91.38
268,177.8
269,262.2
270,168.9
271,155.65
272,131.07
273,146.14
274,227.29
275,173.03
276,322.32
277,189.55
278,148.55
279,141.2
280,140.78
281,131.8
282,163.99
283,257.24
284,199.04
285,225.92
286,241.45
287,122.31
288,162.32
289,197.05
290,137.05
291,164.85
292,180.24
293,168.04
294,82.0
295,177.319
296,130.22
297,152.22
298,181.9
299,219.63
300,203.58
301,258.65
302,195.1
303,178.23
304,147.14
305,124.26
306,175.34
307,125.8
308,145.38
309,151.37
310,207.6
311,143.6
312,203.2
313,222.12
314,172.11
315,156.9
316,234.06
317,130.14
318,197.02
319,175.59
320,250.77
321,144.42
322,193.3
323,161.88
324,174.51
325,186.54
326,163.49
327,215.72
328,141.69
329,140.57
330,171.89
331,151.91
332,101.49
333,184.68
334,164.66
335,126.89
336,164.43
337,290.87
338,173.31
339,155.97
340,150.86
341,108.55
